term,entropy
에 ##어,3.7722856801778732
나 ##가,3.71082384005914
다 ##이,3.673823498311085
입주 ##ᆞ,3.6718001177091875
일 ##일,3.5539066051545545
먹 ##튀,3.479139552269512
노 ##말,3.433385826872628
한 ##일,3.4295465607024296
블 ##루,3.4180665023828665
네임 ##드,3.3689926734845637
카 ##와,3.3458467509432146
스 ##트,3.322982790156606
간 ##이,3.2615623270273546
일 ##베,3.2443194255873533
수 ##비,3.241800985524591
해 ##적,3.2345622133028753
넉 ##백,3.23042776698404
스 ##포,3.2228785888543907
개 ##화,3.2019979646703365
덕 ##후,3.2007311602719795
가 ##챠,3.1936780256704775
자 ##가,3.174300762747512
꾸역 ##승,3.1527067166833547
저 ##렙,3.14468026066866
들 ##이,3.136961906498162
어그 ##로,3.122916989850935
한 ##거,3.1207967514794412
사 ##가,3.118637122892153
기 ##가,3.1092690598997166
시 ##로,3.10424050107017
이 ##천,3.097727600510029
좀 ##비,3.096768549484737
드 ##랍,3.080990706222416
최종 ##보스,3.072646151053142
그런 ##거,3.0724632423496354
친 ##박,3.067626785925482
인간 ##이,3.0665438961441343
분 ##이,3.05876516259645
점 ##화,3.0555455097944173
무력 ##화,3.052334423389574
리 ##마스터,3.04923555011575
궁 ##병,3.049061158784854
천 ##이 ##백,3.0389686073097573
해 ##보,3.0363083726713334
뚜벅 ##이,3.0277704386470834
신고 ##하,3.0251472429983592
운동 ##선수,3.019288605810868
물 ##이,3.0189252882742443
팔 ##백,3.017503507608596
재 ##밍,3.017456611504466
구 ##백,3.0130928323492836
거대 ##화,3.0112684410697574
천 ##백,3.0034494584222453
다단 ##히트,3.002476600273605
놈 ##이,2.9979701486954697
신 ##형,2.9865144635097183
듀얼 ##리스트,2.986503498535038
하 ##는 ##거,2.985560711858541
고 ##렙,2.9801148168680323
아포 ##칼 ##립스,2.9787938589678804
투명 ##화,2.9781246387648683
메 ##가,2.9763708891345133
형 ##님,2.9722102030688395
사 ##주,2.970857314961412
